Year,Dis Mag Scale,Dis Mag Value,Country,Longitude,Latitude,Disaster Type
1962.0,0,47350.38030731904,187,2376,1242,5
1962.0,1,47350.38030731904,79,2376,1242,12
1962.0,1,47350.38030731904,86,2376,1242,12
1962.0,0,47350.38030731904,84,2376,1242,5
1963.0,0,47350.38030731904,0,2376,1242,5
1963.0,4,-22.0,18,2376,1242,4
1963.0,1,47350.38030731904,15,2376,1242,12
1963.0,1,47350.38030731904,15,2376,1242,12
1963.0,0,47350.38030731904,15,2376,1242,5
1963.0,1,47350.38030731904,13,2376,1242,12
1963.0,0,47350.38030731904,46,2376,1242,13
1963.0,1,47350.38030731904,48,2376,1242,12
1963.0,1,47350.38030731904,55,2376,1242,12
1963.0,1,47350.38030731904,56,2376,1242,12
1963.0,0,47350.38030731904,2,2376,1242,5
1963.0,1,47350.38030731904,77,2376,1242,12
1963.0,1,47350.38030731904,84,2376,1242,12
1963.0,3,47350.38030731904,84,2376,1242,3
1963.0,0,47350.38030731904,84,2376,1242,5
1963.0,0,47350.38030731904,90,2376,1242,13
1963.0,0,47350.38030731904,90,2376,1242,13
1963.0,1,47350.38030731904,89,2376,1242,12
1964.0,2,5.0,12,118,1757,2
1964.0,1,47350.38030731904,15,2376,1242,12
1964.0,0,47350.38030731904,15,2376,1242,5
1964.0,0,47350.38030731904,26,2376,1242,5
1964.0,0,47350.38030731904,26,2376,1242,5
1964.0,0,47350.38030731904,26,2376,1242,5
1964.0,0,47350.38030731904,39,2376,1242,13
1964.0,1,47350.38030731904,40,2376,1242,12
1964.0,1,47350.38030731904,48,2376,1242,12
1964.0,1,47350.38030731904,56,2376,1242,12
1964.0,0,47350.38030731904,57,2376,1242,1
1964.0,0,47350.38030731904,64,2376,1242,5
1964.0,1,47350.38030731904,78,2376,1242,12
1964.0,1,47350.38030731904,86,2376,1242,12
1964.0,1,47350.38030731904,86,2376,1242,12
1964.0,1,47350.38030731904,84,2376,1242,12
1964.0,1,47350.38030731904,89,2376,1242,12
1965.0,2,8.0,90,90,170,2
1965.0,0,47350.38030731904,7,2376,1242,10
1965.0,1,47350.38030731904,15,2376,1242,12
1965.0,1,47350.38030731904,15,2376,1242,12
1965.0,1,47350.38030731904,15,2376,1242,12
1965.0,0,47350.38030731904,28,2376,1242,10
1965.0,1,47350.38030731904,13,2376,1242,12
1965.0,0,47350.38030731904,23,2376,1242,5
1965.0,0,47350.38030731904,26,2376,1242,5
